CommitId;RefactoringType;RefactoringDetail
14c445dae3976ec314ec7d1bac0e2d30a9d0e4c0;Extract Method;Extract Method	package writeV5Journal(journalDir File, numEntries int, masterKey byte[], corruptLength boolean) : JournalChannel extracted from package writeV5Journal(journalDir File, numEntries int, masterKey byte[]) : JournalChannel in class org.apache.bookkeeper.bookie.BookieJournalTest
2f996dcf0159f945f7ec97ce7402e5d293009444;Extract Method;Extract Method	package scheduleTaskWithDelay(timerTask TimerTask, delayPeriod long) : void extracted from private deferLedgerLockRelease(ledgerId long) : void in class org.apache.bookkeeper.replication.ReplicationWorker
2f996dcf0159f945f7ec97ce7402e5d293009444;Parameterize Variable;Parameterize Variable	gracePeriod : long to delayPeriod : long in method package scheduleTaskWithDelay(timerTask TimerTask, delayPeriod long) : void in class org.apache.bookkeeper.replication.ReplicationWorker
2f996dcf0159f945f7ec97ce7402e5d293009444;Extract Method;Extract Method	package scheduleTaskWithDelay(timerTask TimerTask, delayPeriod long) : void extracted from private deferLedgerLockReleaseOfFailedLedger(ledgerId long) : void in class org.apache.bookkeeper.replication.ReplicationWorker
2f996dcf0159f945f7ec97ce7402e5d293009444;Extract Variable;Extract Variable	rw2CurFailedAttemptsCount : int in method public testBookiesNotAvailableScenarioForReplicationWorker() : void from class org.apache.bookkeeper.replication.TestReplicationWorker
1e63d3c83e89d152cb603955e303b5377d8ab8e6;Change Return Type;Change Return Type	EntryLogEntry to BufferedReadChannel in method private getFCForEntryInternal(ledgerId long, entryId long, entryLogId long, pos long) : BufferedReadChannel in class org.apache.bookkeeper.bookie.EntryLogger
1e63d3c83e89d152cb603955e303b5377d8ab8e6;Extract Method;Extract Method	public internalReadEntry(ledgerId long, entryId long, location long, validateEntry boolean) : ByteBuf extracted from public readEntry(ledgerId long, entryId long, location long) : ByteBuf in class org.apache.bookkeeper.bookie.EntryLogger
4c6cf097d9b823c8e839e176a06266a58bcb7bf5;Rename Method;Rename Method	private createServerContext(conf AbstractConfiguration) : void renamed to private updateServerContext() : void in class org.apache.bookkeeper.tls.TLSContextFactory
4c6cf097d9b823c8e839e176a06266a58bcb7bf5;Replace Variable With Attribute;Replace Variable With Attribute	conf : AbstractConfiguration to config : AbstractConfiguration in method private createClientContext() : void in class org.apache.bookkeeper.tls.TLSContextFactory
4c6cf097d9b823c8e839e176a06266a58bcb7bf5;Replace Variable With Attribute;Replace Variable With Attribute	conf : AbstractConfiguration to config : AbstractConfiguration in method private updateServerContext() : void in class org.apache.bookkeeper.tls.TLSContextFactory
1df8ae9abd2069d7db7f5551ec7cb1de1b9e3bae;Change Variable Type;Change Variable Type	files : StringBuffer to files : StringBuilder in method public handle(request HttpServiceRequest) : HttpServiceResponse in class org.apache.bookkeeper.server.http.service.ListDiskFilesService
1df8ae9abd2069d7db7f5551ec7cb1de1b9e3bae;Change Variable Type;Change Variable Type	files : StringBuffer to files : StringBuilder in method public handle(request HttpServiceRequest) : HttpServiceResponse in class org.apache.bookkeeper.server.http.service.ListDiskFilesService
1df8ae9abd2069d7db7f5551ec7cb1de1b9e3bae;Change Variable Type;Change Variable Type	files : StringBuffer to files : StringBuilder in method public handle(request HttpServiceRequest) : HttpServiceResponse in class org.apache.bookkeeper.server.http.service.ListDiskFilesService
86e8a72c7fcfb38b76bcbf434df586f3dc00a2af;Change Return Type;Change Return Type	UnderreplicatedLedgerFormat to UnderreplicatedLedger in method public getLedgerUnreplicationInfo(ledgerId long) : UnderreplicatedLedger in class org.apache.bookkeeper.meta.ZkLedgerUnderreplicationManager
86e8a72c7fcfb38b76bcbf434df586f3dc00a2af;Change Variable Type;Change Variable Type	data : UnderreplicatedLedgerFormat to data : UnderreplicatedLedger in method private waitForLedgerMissingReplicas(ledgerId Long, secondsToWait long, replicas String...) : boolean in class org.apache.bookkeeper.replication.AuditorLedgerCheckerTest
6b892a45f02a6d8d0b1d33235d4134d91e3ea111;Extract Method;Extract Method	private createLedgers(numLedgers int, createdLedgers Set<Long>, selfBookie BookieSocketAddress) : void extracted from private createLedgers(numLedgers int, createdLedgers Set<Long>) : void in class org.apache.bookkeeper.meta.GcLedgersTest
b34162a932b93a7e65451dce3f6e10bfda707997;Change Return Type;Change Return Type	boolean to PlacementPolicyAdherence in method public isEnsembleAdheringToPlacementPolicy(ensembleList List<BookieSocketAddress>, writeQuorumSize int, ackQuorumSize int) : PlacementPolicyAdherence in class org.apache.bookkeeper.bookie.LocalBookieEnsemblePlacementPolicy
b34162a932b93a7e65451dce3f6e10bfda707997;Change Return Type;Change Return Type	boolean to PlacementPolicyAdherence in method public isEnsembleAdheringToPlacementPolicy(ensembleBookiesList List<BookieSocketAddress>, writeQuorumSize int, ackQuorumSize int) : PlacementPolicyAdherence in class org.apache.bookkeeper.client.BookKeeperAdmin
b34162a932b93a7e65451dce3f6e10bfda707997;Change Variable Type;Change Variable Type	isEnsembleAdheringToPlacementPolicy : boolean to isEnsembleAdheringToPlacementPolicy : PlacementPolicyAdherence in method private getReplacementBookiesByIndexes(lh LedgerHandle, ensemble List<BookieSocketAddress>, bookieIndexesToRereplicate Set<Integer>, excludedBookies Optional<Set<BookieSocketAddress>>) : Map<Integer,BookieSocketAddress> in class org.apache.bookkeeper.client.BookKeeperAdmin
b34162a932b93a7e65451dce3f6e10bfda707997;Change Return Type;Change Return Type	boolean to PlacementPolicyAdherence in method public isEnsembleAdheringToPlacementPolicy(ensembleList List<BookieSocketAddress>, writeQuorumSize int, ackQuorumSize int) : PlacementPolicyAdherence in class org.apache.bookkeeper.client.DefaultEnsemblePlacementPolicy
b34162a932b93a7e65451dce3f6e10bfda707997;Change Return Type;Change Return Type	boolean to PlacementPolicyAdherence in method public isEnsembleAdheringToPlacementPolicy(ensembleList List<BookieSocketAddress>, writeQuorumSize int, ackQuorumSize int) : PlacementPolicyAdherence in class org.apache.bookkeeper.client.EnsemblePlacementPolicy
b34162a932b93a7e65451dce3f6e10bfda707997;Rename Parameter;Rename Parameter	adhering : boolean to policyAdherence : PlacementPolicyAdherence in method public of(result T, policyAdherence PlacementPolicyAdherence) : PlacementResult<T> in class org.apache.bookkeeper.client.EnsemblePlacementPolicy.PlacementResult
b34162a932b93a7e65451dce3f6e10bfda707997;Change Parameter Type;Change Parameter Type	adhering : boolean to policyAdherence : PlacementPolicyAdherence in method public of(result T, policyAdherence PlacementPolicyAdherence) : PlacementResult<T> in class org.apache.bookkeeper.client.EnsemblePlacementPolicy.PlacementResult
b34162a932b93a7e65451dce3f6e10bfda707997;Rename Parameter;Rename Parameter	adhering : boolean to policyAdherence : PlacementPolicyAdherence in method private PlacementResult(result T, policyAdherence PlacementPolicyAdherence) in class org.apache.bookkeeper.client.EnsemblePlacementPolicy.PlacementResult
b34162a932b93a7e65451dce3f6e10bfda707997;Change Parameter Type;Change Parameter Type	adhering : boolean to policyAdherence : PlacementPolicyAdherence in method private PlacementResult(result T, policyAdherence PlacementPolicyAdherence) in class org.apache.bookkeeper.client.EnsemblePlacementPolicy.PlacementResult
b34162a932b93a7e65451dce3f6e10bfda707997;Rename Attribute;Rename Attribute	adhering : boolean to policyAdherence : PlacementPolicyAdherence in class org.apache.bookkeeper.client.EnsemblePlacementPolicy.PlacementResult
b34162a932b93a7e65451dce3f6e10bfda707997;Change Attribute Type;Change Attribute Type	adhering : boolean to policyAdherence : PlacementPolicyAdherence in class org.apache.bookkeeper.client.EnsemblePlacementPolicy.PlacementResult
b34162a932b93a7e65451dce3f6e10bfda707997;Change Return Type;Change Return Type	boolean to PlacementPolicyAdherence in method public isEnsembleAdheringToPlacementPolicy(ensembleList List<BookieSocketAddress>, writeQuorumSize int, ackQuorumSize int) : PlacementPolicyAdherence in class org.apache.bookkeeper.client.RackawareEnsemblePlacementPolicyImpl
b34162a932b93a7e65451dce3f6e10bfda707997;Change Return Type;Change Return Type	boolean to PlacementPolicyAdherence in method public isEnsembleAdheringToPlacementPolicy(ensembleList List<BookieSocketAddress>, writeQuorumSize int, ackQuorumSize int) : PlacementPolicyAdherence in class org.apache.bookkeeper.client.RegionAwareEnsemblePlacementPolicy
b34162a932b93a7e65451dce3f6e10bfda707997;Rename Attribute;Rename Attribute	numOfLedgersFoundInPlacementPolicyCheck : AtomicInteger to numOfLedgersFoundNotAdheringInPlacementPolicyCheck : AtomicInteger in class org.apache.bookkeeper.replication.Auditor
b34162a932b93a7e65451dce3f6e10bfda707997;Change Variable Type;Change Variable Type	isEnsembleAdheringToPlacementPolicy : boolean to isEnsembleAdheringToPlacementPolicy : PlacementPolicyAdherence in method public testReplaceBookieWithEnoughBookiesInSameRack() : void in class org.apache.bookkeeper.client.TestRackawareEnsemblePlacementPolicy
b34162a932b93a7e65451dce3f6e10bfda707997;Change Variable Type;Change Variable Type	isEnsembleAdheringToPlacementPolicy : boolean to isEnsembleAdheringToPlacementPolicy : PlacementPolicyAdherence in method public testReplaceBookieWithEnoughBookiesInDifferentRack() : void in class org.apache.bookkeeper.client.TestRackawareEnsemblePlacementPolicy
b34162a932b93a7e65451dce3f6e10bfda707997;Change Variable Type;Change Variable Type	isEnsembleAdheringToPlacementPolicy : boolean to isEnsembleAdheringToPlacementPolicy : PlacementPolicyAdherence in method public testReplaceBookieWithEnoughBookiesInSameRackAsEnsemble() : void in class org.apache.bookkeeper.client.TestRackawareEnsemblePlacementPolicy
b34162a932b93a7e65451dce3f6e10bfda707997;Change Variable Type;Change Variable Type	isEnsembleAdheringToPlacementPolicy : boolean to isEnsembleAdheringToPlacementPolicy : PlacementPolicyAdherence in method public testNewEnsembleWithSingleRack() : void in class org.apache.bookkeeper.client.TestRackawareEnsemblePlacementPolicy
b34162a932b93a7e65451dce3f6e10bfda707997;Change Variable Type;Change Variable Type	isEnsembleAdheringToPlacementPolicy2 : boolean to isEnsembleAdheringToPlacementPolicy2 : PlacementPolicyAdherence in method public testNewEnsembleWithSingleRack() : void in class org.apache.bookkeeper.client.TestRackawareEnsemblePlacementPolicy
b34162a932b93a7e65451dce3f6e10bfda707997;Change Variable Type;Change Variable Type	isEnsembleAdheringToPlacementPolicy : boolean to isEnsembleAdheringToPlacementPolicy : PlacementPolicyAdherence in method public testNewEnsembleWithEnforceMinNumRacks() : void in class org.apache.bookkeeper.client.TestRackawareEnsemblePlacementPolicy
