CommitId;RefactoringType;RefactoringDetail
94f084324a99f4f84464ad3b5574a84adc1028e9;Change Attribute Type;Change Attribute Type	gaussian : BoxMullerGaussianSampler to gaussian : NormalizedGaussianSampler in class org.apache.commons.rng.sampling.distribution.AhrensDieterMarsagliaTsangGammaSampler
94f084324a99f4f84464ad3b5574a84adc1028e9;Change Attribute Type;Change Attribute Type	gaussian : BoxMullerGaussianSampler to gaussian : NormalizedGaussianSampler in class org.apache.commons.rng.sampling.distribution.BoxMullerLogNormalSampler
94f084324a99f4f84464ad3b5574a84adc1028e9;Change Attribute Type;Change Attribute Type	gaussian : ContinuousSampler to gaussian : NormalizedGaussianSampler in class org.apache.commons.rng.sampling.distribution.PoissonSampler
4ef78f53b61eb5df545751da8d3895a3206c1b5a;Rename Class;Rename Class	org.apache.commons.rng.sampling.distribution.BoxMullerWithRejectionNormalizedGaussianSampler renamed to org.apache.commons.rng.sampling.distribution.MarsagliaNormalizedGaussianSampler
2964c6ae66314994d2c1452b378661b5995f7fcb;Rename Method;Rename Method	public runBoxMullerWithRejectionNormalizedGaussianSampler(sources Sources, bh Blackhole) : void renamed to public runMarsagliaNormalizedGaussianSampler(sources Sources, bh Blackhole) : void in class org.apache.commons.rng.jmh.distribution.SamplersPerformance
8d216eb2dcfe697d4781c4d04d3c378766ad0429;Rename Class;Rename Class	org.apache.commons.rng.sampling.distribution.ZigguratGaussianSampler renamed to org.apache.commons.rng.sampling.distribution.ZigguratNormalizedGaussianSampler
75c7e43c7ea98ca710713c53d0506aad0da9cc42;Change Parameter Type;Change Parameter Type	hz : int to hz : long in method private fix(hz long, iz int) : double in class org.apache.commons.rng.sampling.distribution.ZigguratNormalizedGaussianSampler
75c7e43c7ea98ca710713c53d0506aad0da9cc42;Rename Method;Rename Method	private nfix(hz int, iz int) : double renamed to private fix(hz long, iz int) : double in class org.apache.commons.rng.sampling.distribution.ZigguratNormalizedGaussianSampler
75c7e43c7ea98ca710713c53d0506aad0da9cc42;Change Variable Type;Change Variable Type	j : int to j : long in method public sample() : double in class org.apache.commons.rng.sampling.distribution.ZigguratNormalizedGaussianSampler
75c7e43c7ea98ca710713c53d0506aad0da9cc42;Rename Attribute;Rename Attribute	WN : double[] to W : double[] in class org.apache.commons.rng.sampling.distribution.ZigguratNormalizedGaussianSampler
