CommitId;RefactoringType;RefactoringDetail
b6e5ed05866242eb6c7c23a82d3b892d4461bb54;Change Variable Type;Change Variable Type	values : long... to lvalues : long[] in method public processBitVectors(enumClass Class<E>, values long...) : EnumSet<E> in class org.apache.commons.lang3.EnumUtils
b6e5ed05866242eb6c7c23a82d3b892d4461bb54;Rename Variable;Rename Variable	values : long... to lvalues : long[] in method public processBitVectors(enumClass Class<E>, values long...) : EnumSet<E> in class org.apache.commons.lang3.EnumUtils
ddc06197e4c9cdd009ba2a039dca77099797c584;Extract Variable;Extract Variable	fis : FileInputStream in method public testLang708() : void from class org.apache.commons.lang3.StringEscapeUtilsTest
cf4138d7bc1a892295ccd58ea8b42f7c8737239a;Change Parameter Type;Change Parameter Type	years : int to years : long in method package format(tokens Token[], years long, months long, days long, hours long, minutes long, seconds long, milliseconds long, padWithZeros boolean) : String in class org.apache.commons.lang3.time.DurationFormatUtils
cf4138d7bc1a892295ccd58ea8b42f7c8737239a;Change Parameter Type;Change Parameter Type	months : int to months : long in method package format(tokens Token[], years long, months long, days long, hours long, minutes long, seconds long, milliseconds long, padWithZeros boolean) : String in class org.apache.commons.lang3.time.DurationFormatUtils
cf4138d7bc1a892295ccd58ea8b42f7c8737239a;Change Parameter Type;Change Parameter Type	days : int to days : long in method package format(tokens Token[], years long, months long, days long, hours long, minutes long, seconds long, milliseconds long, padWithZeros boolean) : String in class org.apache.commons.lang3.time.DurationFormatUtils
cf4138d7bc1a892295ccd58ea8b42f7c8737239a;Change Parameter Type;Change Parameter Type	hours : int to hours : long in method package format(tokens Token[], years long, months long, days long, hours long, minutes long, seconds long, milliseconds long, padWithZeros boolean) : String in class org.apache.commons.lang3.time.DurationFormatUtils
cf4138d7bc1a892295ccd58ea8b42f7c8737239a;Change Parameter Type;Change Parameter Type	minutes : int to minutes : long in method package format(tokens Token[], years long, months long, days long, hours long, minutes long, seconds long, milliseconds long, padWithZeros boolean) : String in class org.apache.commons.lang3.time.DurationFormatUtils
cf4138d7bc1a892295ccd58ea8b42f7c8737239a;Change Parameter Type;Change Parameter Type	seconds : int to seconds : long in method package format(tokens Token[], years long, months long, days long, hours long, minutes long, seconds long, milliseconds long, padWithZeros boolean) : String in class org.apache.commons.lang3.time.DurationFormatUtils
cf4138d7bc1a892295ccd58ea8b42f7c8737239a;Change Parameter Type;Change Parameter Type	milliseconds : int to milliseconds : long in method package format(tokens Token[], years long, months long, days long, hours long, minutes long, seconds long, milliseconds long, padWithZeros boolean) : String in class org.apache.commons.lang3.time.DurationFormatUtils
cf4138d7bc1a892295ccd58ea8b42f7c8737239a;Change Variable Type;Change Variable Type	days : int to days : long in method public formatDuration(durationMillis long, format String, padWithZeros boolean) : String in class org.apache.commons.lang3.time.DurationFormatUtils
cf4138d7bc1a892295ccd58ea8b42f7c8737239a;Change Variable Type;Change Variable Type	hours : int to hours : long in method public formatDuration(durationMillis long, format String, padWithZeros boolean) : String in class org.apache.commons.lang3.time.DurationFormatUtils
cf4138d7bc1a892295ccd58ea8b42f7c8737239a;Change Variable Type;Change Variable Type	minutes : int to minutes : long in method public formatDuration(durationMillis long, format String, padWithZeros boolean) : String in class org.apache.commons.lang3.time.DurationFormatUtils
cf4138d7bc1a892295ccd58ea8b42f7c8737239a;Change Variable Type;Change Variable Type	seconds : int to seconds : long in method public formatDuration(durationMillis long, format String, padWithZeros boolean) : String in class org.apache.commons.lang3.time.DurationFormatUtils
cf4138d7bc1a892295ccd58ea8b42f7c8737239a;Change Variable Type;Change Variable Type	milliseconds : int to milliseconds : long in method public formatDuration(durationMillis long, format String, padWithZeros boolean) : String in class org.apache.commons.lang3.time.DurationFormatUtils
3ee44535b4c6d925ae21cf8dcbe6e85a72158a68;Change Parameter Type;Change Parameter Type	unit : int to unit : TimeUnit in method private getFragment(date Date, fragment int, unit TimeUnit) : long in class org.apache.commons.lang3.time.DateUtils
3ee44535b4c6d925ae21cf8dcbe6e85a72158a68;Change Parameter Type;Change Parameter Type	unit : int to unit : TimeUnit in method private getFragment(calendar Calendar, fragment int, unit TimeUnit) : long in class org.apache.commons.lang3.time.DateUtils
3efd6ccdbf1131b8d0b2677cbbdb41d7a23929f0;Extract Attribute;Extract Attribute	private NOT_FOUND : int in class org.apache.commons.lang3.CharSequenceUtils
649a089ddc4da251a3eefd1a792b34b782164191;Extract Method;Extract Method	private checkParse(locale Locale, sdf SimpleDateFormat, fdf DateParser, formattedDate String) : void extracted from private checkParse(locale Locale, cal Calendar, sdf SimpleDateFormat, fdf DateParser) : void in class org.apache.commons.lang3.time.FastDateParserTest
d9bd12dc92dde003c0130a2a8405702191d55261;Rename Class;Rename Class	org.apache.commons.lang3.time.FastDateParser.TextStrategy renamed to org.apache.commons.lang3.time.FastDateParser.CaseInsensitiveTextStrategy
967fdd064c6d67774204d1b2e93301435f4d6a64;Change Variable Type;Change Variable Type	encoding : String to charset : Charset in method public testLang100() : void in class org.apache.commons.lang3.RandomStringUtilsTest
967fdd064c6d67774204d1b2e93301435f4d6a64;Rename Variable;Rename Variable	encoding : String to charset : Charset in method public testLang100() : void in class org.apache.commons.lang3.RandomStringUtilsTest
967fdd064c6d67774204d1b2e93301435f4d6a64;Inline Variable;Inline Variable	encoding : String in method public testToString() : void from class org.apache.commons.lang3.StringUtilsTest
bc91bedd45c5f51175f8686332ed4c72fbe98652;Extract Attribute;Extract Attribute	private DEFAULT_MULTIPLIER_VALUE : int in class org.apache.commons.lang3.builder.HashCodeBuilder
bc91bedd45c5f51175f8686332ed4c72fbe98652;Extract Attribute;Extract Attribute	private DEFAULT_INITIAL_VALUE : int in class org.apache.commons.lang3.builder.HashCodeBuilder
52e854e3bda9f1b92471884888f430345f73eca2;Change Parameter Type;Change Parameter Type	modType : int to modType : ModifyType in method private modify(val Calendar, field int, modType ModifyType) : void in class org.apache.commons.lang3.time.DateUtils
4477ae695211449db1df589e9fdc6de84bf4c640;Rename Variable;Rename Variable	methodUtilsTestAnnotatedFields : List<Method> to methodWithAnnotation : List<Method> in method public testGetMethodsListWithAnnotation() : void in class org.apache.commons.lang3.reflect.MethodUtilsTest
ef26a667633275fa656b74b841f9e74a3a6879ab;Change Variable Type;Change Variable Type	occurrences : HashMap<Byte,MutableInt> to occurrences : Map<Byte,MutableInt> in method public removeElements(array byte[], values byte...) : byte[] in class org.apache.commons.lang3.ArrayUtils
ffc38b1f3b35ddfadb942240b9d2f933ec83d1be;Rename Method;Rename Method	public testObjectsEqual() : void renamed to public testObjectsSameAndEqual() : void in class org.apache.commons.lang3.builder.DiffBuilderTest
ffc38b1f3b35ddfadb942240b9d2f933ec83d1be;Rename Variable;Rename Variable	class1 : TypeTestClass to left : TypeTestClass in method public testObjectsSameAndEqual() : void in class org.apache.commons.lang3.builder.DiffBuilderTest
ffc38b1f3b35ddfadb942240b9d2f933ec83d1be;Rename Variable;Rename Variable	class2 : TypeTestClass to right : TypeTestClass in method public testObjectsSameAndEqual() : void in class org.apache.commons.lang3.builder.DiffBuilderTest
bdb5d9723056941a0a29aabc2eaf81b2c96956b5;Extract Method;Extract Method	protected testGetConcurrentOptionallyWithException(expectExceptions boolean, expectedMessage String, expectedCause Exception) : void extracted from public testGetConcurrent() : void in class org.apache.commons.lang3.concurrent.AbstractConcurrentInitializerTest
61836183b1d84a18dbcc084d1f41bcecf752f9fd;Inline Method;Inline Method	protected testGetConcurrentOptionallyWithException(expectExceptions boolean, expectedMessage String, expectedCause Exception) : void inlined to public testGetConcurrent() : void in class org.apache.commons.lang3.concurrent.AbstractConcurrentInitializerTest
b321bde08dd2bb324d4742635f9e6ad70d58f2f2;Change Variable Type;Change Variable Type	properties1 : StrLookup to properties1 : StrLookup<String> in method public testSystemPropertiesLookupNotSingleton() : void in class org.apache.commons.lang3.text.StrLookupTest
b321bde08dd2bb324d4742635f9e6ad70d58f2f2;Change Variable Type;Change Variable Type	properties2 : StrLookup to properties2 : StrLookup<String> in method public testSystemPropertiesLookupNotSingleton() : void in class org.apache.commons.lang3.text.StrLookupTest
1f75a8f7cc28fef663eaca75e831c9da11ea2b0e;Change Variable Type;Change Variable Type	c : char[] to c1 : char in method public translate(input CharSequence, out Writer) : void in class org.apache.commons.lang3.text.translate.CharSequenceTranslator
1f75a8f7cc28fef663eaca75e831c9da11ea2b0e;Rename Variable;Rename Variable	c : char[] to c1 : char in method public translate(input CharSequence, out Writer) : void in class org.apache.commons.lang3.text.translate.CharSequenceTranslator
442e8c27055475283623299bfad6ad7d0f01040b;Move Method;Move Method	public testCalendarTimezoneRespected() : void from class org.apache.commons.lang3.time.FastDatePrinterTest to public testCalendarTimezoneRespected() : void from class org.apache.commons.lang3.time.FastDatePrinterTimeZonesTest
bbfa8eb7df16baf17239b412ff7efa11c7e0926b;Extract And Move Method;Extract And Move Method	private appendDigits(buffer StringBuffer, value int) : void extracted from public appendTo(buffer StringBuffer, value int) : void in class org.apache.commons.lang3.time.FastDatePrinter.UnpaddedMonthField & moved to class org.apache.commons.lang3.time.FastDatePrinter
