CommitId;RefactoringType;RefactoringDetail
98817e88f04cc6757c42ae52d653b63cb85af486;Replace Variable With Attribute;Replace Variable With Attribute	base : Date to BASE_DATE : Date in method public testAddYears() : void in class org.apache.commons.lang3.time.DateUtilsTest
98817e88f04cc6757c42ae52d653b63cb85af486;Replace Variable With Attribute;Replace Variable With Attribute	base : Date to BASE_DATE : Date in method public testAddMonths() : void in class org.apache.commons.lang3.time.DateUtilsTest
98817e88f04cc6757c42ae52d653b63cb85af486;Replace Variable With Attribute;Replace Variable With Attribute	base : Date to BASE_DATE : Date in method public testAddWeeks() : void in class org.apache.commons.lang3.time.DateUtilsTest
98817e88f04cc6757c42ae52d653b63cb85af486;Replace Variable With Attribute;Replace Variable With Attribute	base : Date to BASE_DATE : Date in method public testAddDays() : void in class org.apache.commons.lang3.time.DateUtilsTest
98817e88f04cc6757c42ae52d653b63cb85af486;Replace Variable With Attribute;Replace Variable With Attribute	base : Date to BASE_DATE : Date in method public testAddHours() : void in class org.apache.commons.lang3.time.DateUtilsTest
98817e88f04cc6757c42ae52d653b63cb85af486;Replace Variable With Attribute;Replace Variable With Attribute	base : Date to BASE_DATE : Date in method public testAddMinutes() : void in class org.apache.commons.lang3.time.DateUtilsTest
98817e88f04cc6757c42ae52d653b63cb85af486;Replace Variable With Attribute;Replace Variable With Attribute	base : Date to BASE_DATE : Date in method public testAddSeconds() : void in class org.apache.commons.lang3.time.DateUtilsTest
98817e88f04cc6757c42ae52d653b63cb85af486;Replace Variable With Attribute;Replace Variable With Attribute	base : Date to BASE_DATE : Date in method public testAddMilliseconds() : void in class org.apache.commons.lang3.time.DateUtilsTest
98817e88f04cc6757c42ae52d653b63cb85af486;Replace Variable With Attribute;Replace Variable With Attribute	base : Date to BASE_DATE : Date in method public testSetYears() : void in class org.apache.commons.lang3.time.DateUtilsTest
98817e88f04cc6757c42ae52d653b63cb85af486;Replace Variable With Attribute;Replace Variable With Attribute	base : Date to BASE_DATE : Date in method public testSetMonths() : void in class org.apache.commons.lang3.time.DateUtilsTest
98817e88f04cc6757c42ae52d653b63cb85af486;Replace Variable With Attribute;Replace Variable With Attribute	base : Date to BASE_DATE : Date in method public testSetDays() : void in class org.apache.commons.lang3.time.DateUtilsTest
98817e88f04cc6757c42ae52d653b63cb85af486;Replace Variable With Attribute;Replace Variable With Attribute	base : Date to BASE_DATE : Date in method public testSetHours() : void in class org.apache.commons.lang3.time.DateUtilsTest
98817e88f04cc6757c42ae52d653b63cb85af486;Replace Variable With Attribute;Replace Variable With Attribute	base : Date to BASE_DATE : Date in method public testSetMinutes() : void in class org.apache.commons.lang3.time.DateUtilsTest
98817e88f04cc6757c42ae52d653b63cb85af486;Replace Variable With Attribute;Replace Variable With Attribute	base : Date to BASE_DATE : Date in method public testSetSeconds() : void in class org.apache.commons.lang3.time.DateUtilsTest
98817e88f04cc6757c42ae52d653b63cb85af486;Replace Variable With Attribute;Replace Variable With Attribute	base : Date to BASE_DATE : Date in method public testSetMilliseconds() : void in class org.apache.commons.lang3.time.DateUtilsTest
76cc69c3f08cbf31efd56f631504496307ab7a5c;Extract Method;Extract Method	private allPublicChildFields() : Field[] extracted from public testGetAllFields() : void in class org.apache.commons.lang3.reflect.FieldUtilsTest
76cc69c3f08cbf31efd56f631504496307ab7a5c;Change Variable Type;Change Variable Type	fieldsInteger : Field[] to parentClass : Class<? super PublicChild> in method private allPublicChildFields() : Field[] in class org.apache.commons.lang3.reflect.FieldUtilsTest
76cc69c3f08cbf31efd56f631504496307ab7a5c;Rename Variable;Rename Variable	fieldsInteger : Field[] to parentClass : Class<? super PublicChild> in method private allPublicChildFields() : Field[] in class org.apache.commons.lang3.reflect.FieldUtilsTest
c9d3c58e44738bf38c3974f054daeab1d7bf0f89;Inline Method;Inline Method	private allPublicChildFields() : Field[] inlined to public testGetAllFields() : void in class org.apache.commons.lang3.reflect.FieldUtilsTest
c9d3c58e44738bf38c3974f054daeab1d7bf0f89;Rename Variable;Rename Variable	fieldsParent : Field[] to fieldsNumber : Field[] in method public testGetAllFields() : void in class org.apache.commons.lang3.reflect.FieldUtilsTest
