CommitId;RefactoringType;RefactoringDetail
2e33d0fc5fd71bc6ef74d72e55a124cb7ff28d88;Extract Variable;Extract Variable	path : String in method private createSampler(request Request, commentText String) : HTTPSamplerProxy from class org.apache.jmeter.protocol.http.gui.action.ParseCurlCommandAction
27bb77a5fee2143e8e9cff3f2f132e20dbfddf20;Rename Attribute;Rename Attribute	pattern : Pattern to regexp : String in class org.apache.jmeter.gui.action.RegexpSearcher
27bb77a5fee2143e8e9cff3f2f132e20dbfddf20;Change Attribute Type;Change Attribute Type	pattern : Pattern to regexp : String in class org.apache.jmeter.gui.action.RegexpSearcher
145d719e9854c12b194afe2f7f6861b363cf3078;Extract Variable;Extract Variable	namePanel : NamePanel in method public getName() : String from class org.apache.jmeter.gui.AbstractJMeterGuiComponent
e68d3202ba1b2b06dd0f976a6292872d950eda9e;Change Variable Type;Change Variable Type	rnd : java.util.Random to rnd : Random in method public testExactNumberOfSamples() : void in class org.apache.jmeter.timers.poissonarrivals.PreciseThroughputTimerTest
e68d3202ba1b2b06dd0f976a6292872d950eda9e;Replace Variable With Attribute;Replace Variable With Attribute	file : File to tempFile : File in method public testDataReadFromFile() : void in class org.apache.jmeter.curl.BasicCurlParserTest
e68d3202ba1b2b06dd0f976a6292872d950eda9e;Replace Variable With Attribute;Replace Variable With Attribute	file : File to tempFile : File in method public testDataUrlEncodeFromFile() : void in class org.apache.jmeter.curl.BasicCurlParserTest
e68d3202ba1b2b06dd0f976a6292872d950eda9e;Replace Variable With Attribute;Replace Variable With Attribute	file : File to tempFile : File in method public testDataUrlEncodeWith2AtSymbol() : void in class org.apache.jmeter.curl.BasicCurlParserTest
e68d3202ba1b2b06dd0f976a6292872d950eda9e;Replace Variable With Attribute;Replace Variable With Attribute	file : File to tempFile : File in method public testDataBinaryReadFromFile() : void in class org.apache.jmeter.curl.BasicCurlParserTest
e68d3202ba1b2b06dd0f976a6292872d950eda9e;Replace Variable With Attribute;Replace Variable With Attribute	file : File to tempFile : File in method public testCookieFromFile() : void in class org.apache.jmeter.curl.BasicCurlParserTest
e68d3202ba1b2b06dd0f976a6292872d950eda9e;Extract Method;Extract Method	private testCommentTextStartsWith(cmdLine String, expectedComment String) : void extracted from public testCreateCommentText() : void in class org.apache.jmeter.gui.action.ParseCurlCommandActionTest
e68d3202ba1b2b06dd0f976a6292872d950eda9e;Extract Method;Extract Method	private testCommentText(cmdLine String, expectedComment String) : void extracted from public testCreateCommentText() : void in class org.apache.jmeter.gui.action.ParseCurlCommandActionTest
b0448c8cb3b70e7c3c58f84af926d0071a091f78;Extract Method;Extract Method	private init() : void extracted from public AbstractJMeterGuiComponent() in class org.apache.jmeter.gui.AbstractJMeterGuiComponent
b0448c8cb3b70e7c3c58f84af926d0071a091f78;Change Variable Type;Change Variable Type	contentPanel : VerticalPanel to titlePanel : JPanel in method protected makeTitlePanel() : Container in class org.apache.jmeter.gui.AbstractJMeterGuiComponent
b0448c8cb3b70e7c3c58f84af926d0071a091f78;Rename Variable;Rename Variable	contentPanel : VerticalPanel to titlePanel : JPanel in method protected makeTitlePanel() : Container in class org.apache.jmeter.gui.AbstractJMeterGuiComponent
b0448c8cb3b70e7c3c58f84af926d0071a091f78;Rename Attribute;Rename Attribute	commentPanel : CommentPanel to commentField : JTextArea in class org.apache.jmeter.gui.AbstractJMeterGuiComponent
b0448c8cb3b70e7c3c58f84af926d0071a091f78;Change Attribute Type;Change Attribute Type	commentPanel : CommentPanel to commentField : JTextArea in class org.apache.jmeter.gui.AbstractJMeterGuiComponent
b0448c8cb3b70e7c3c58f84af926d0071a091f78;Change Attribute Type;Change Attribute Type	sameUserBox : JRadioButton to sameUserBox : JCheckBox in class org.apache.jmeter.threads.gui.ThreadGroupGui
b0448c8cb3b70e7c3c58f84af926d0071a091f78;Replace Variable With Attribute;Replace Variable With Attribute	warningLabel : JLabel to durationLabel : JLabel in method private init() : void in class org.apache.jmeter.threads.gui.ThreadGroupGui
b0448c8cb3b70e7c3c58f84af926d0071a091f78;Extract And Move Method;Extract And Move Method	public labelFor(component Component, resourceId String) : JLabel extracted from private init() : void in class org.apache.jmeter.threads.gui.ThreadGroupGui & moved to class org.apache.jmeter.util.JMeterUtils
538f8a21ba1be380d35b5c47c137a54c099d7309;Extract Attribute;Extract Attribute	private IS_SAME_USER_ON_NEXT_ITERATION_DEFAULT_VALUE : boolean in class org.apache.jmeter.threads.gui.ThreadGroupGui
3263a5dbf4a4ea5c09f7081806ce9c5d05ec9824;Change Variable Type;Change Variable Type	startedEngines : List<JMeterEngine> to startedEngines : List<String> in method public start(addresses List<String>) : void in class org.apache.jmeter.engine.DistributedRunner
3263a5dbf4a4ea5c09f7081806ce9c5d05ec9824;Change Variable Type;Change Variable Type	failedEngines : List<JMeterEngine> to failedEngines : List<String> in method public start(addresses List<String>) : void in class org.apache.jmeter.engine.DistributedRunner
6df752c773871dcd8c7936c76deffa687d4bd207;Inline Variable;Inline Variable	expected : List<SimpleImmutableEntry<String,Integer>> in method public noSorting() : void from class org.apache.jorphan.gui.ObjectTableSorterTest
6df752c773871dcd8c7936c76deffa687d4bd207;Inline Variable;Inline Variable	expected : List<SimpleImmutableEntry<String,Integer>> in method public sortKeyAscending() : void from class org.apache.jorphan.gui.ObjectTableSorterTest
