CommitId;RefactoringType;RefactoringDetail
92fa52924f7aef087e1de8095c1abd02804e5b6b;Move Source Folder;Move Source Folder	src to src/main/java
92fa52924f7aef087e1de8095c1abd02804e5b6b;Move Source Folder;Move Source Folder	test to src/test/java
92fa52924f7aef087e1de8095c1abd02804e5b6b;Change Variable Type;Change Variable Type	files : List<File2> to files : List<File> in method public testCreateThumbnailCollections_NoErrors() : void in class net.coobird.thumbnailator.ThumbnailatorTest
92fa52924f7aef087e1de8095c1abd02804e5b6b;Change Variable Type;Change Variable Type	files : List<File> to files : List<File2> in method public testCreateThumbnailCollections_NoErrors_CollectionExtendsFile() : void in class net.coobird.thumbnailator.ThumbnailatorTest
cd74b018cd6b4ed0f067d49aeeec125164f77e92;Extract Method;Extract Method	public asFiles(destinationDir File, rename Rename) : List<File> extracted from public asFiles(rename Rename) : List<File> in class net.coobird.thumbnailator.Thumbnails.Builder
cd74b018cd6b4ed0f067d49aeeec125164f77e92;Extract Method;Extract Method	public toFiles(destinationDir File, rename Rename) : void extracted from public toFiles(rename Rename) : void in class net.coobird.thumbnailator.Thumbnails.Builder
49c672afdefb06af1fef67d6f0fbe1c3a0c1b2a7;Extract Variable;Extract Variable	fis : FileInputStream in method public testCreateThumbnail_IOII_Bmp() : void from class net.coobird.thumbnailator.ThumbnailatorTest
49c672afdefb06af1fef67d6f0fbe1c3a0c1b2a7;Extract Variable;Extract Variable	fis : FileInputStream in method public testCreateThumbnail_IOII_Gif() : void from class net.coobird.thumbnailator.ThumbnailatorTest
49c672afdefb06af1fef67d6f0fbe1c3a0c1b2a7;Extract Variable;Extract Variable	fis : FileInputStream in method public testCreateThumbnail_IOSII_Transcoding_Jpeg_Png() : void from class net.coobird.thumbnailator.ThumbnailatorTest
49c672afdefb06af1fef67d6f0fbe1c3a0c1b2a7;Extract Variable;Extract Variable	fis : FileInputStream in method public testCreateThumbnail_IOSII_Transcoding_Jpeg_Bmp() : void from class net.coobird.thumbnailator.ThumbnailatorTest
49c672afdefb06af1fef67d6f0fbe1c3a0c1b2a7;Extract Variable;Extract Variable	fis : FileInputStream in method public testCreateThumbnail_IOSII_Transcoding_Jpeg_Gif() : void from class net.coobird.thumbnailator.ThumbnailatorTest
49c672afdefb06af1fef67d6f0fbe1c3a0c1b2a7;Extract Variable;Extract Variable	fis : FileInputStream in method public testCreateThumbnail_IOSII_Transcoding_Png_Jpeg() : void from class net.coobird.thumbnailator.ThumbnailatorTest
49c672afdefb06af1fef67d6f0fbe1c3a0c1b2a7;Extract Variable;Extract Variable	fis : FileInputStream in method public testCreateThumbnail_IOSII_Transcoding_Png_Bmp() : void from class net.coobird.thumbnailator.ThumbnailatorTest
49c672afdefb06af1fef67d6f0fbe1c3a0c1b2a7;Extract Variable;Extract Variable	fis : FileInputStream in method public testCreateThumbnail_IOSII_Transcoding_Png_Gif() : void from class net.coobird.thumbnailator.ThumbnailatorTest
49c672afdefb06af1fef67d6f0fbe1c3a0c1b2a7;Extract Variable;Extract Variable	fis : FileInputStream in method public testCreateThumbnail_IOSII_Transcoding_Bmp_Png() : void from class net.coobird.thumbnailator.ThumbnailatorTest
49c672afdefb06af1fef67d6f0fbe1c3a0c1b2a7;Extract Variable;Extract Variable	fis : FileInputStream in method public testCreateThumbnail_IOSII_Transcoding_Bmp_Jpeg() : void from class net.coobird.thumbnailator.ThumbnailatorTest
49c672afdefb06af1fef67d6f0fbe1c3a0c1b2a7;Extract Variable;Extract Variable	fis : FileInputStream in method public testCreateThumbnail_IOSII_Transcoding_Bmp_Gif() : void from class net.coobird.thumbnailator.ThumbnailatorTest
49c672afdefb06af1fef67d6f0fbe1c3a0c1b2a7;Extract Variable;Extract Variable	fis : FileInputStream in method public testCreateThumbnail_IOSII_Transcoding_Gif_Png() : void from class net.coobird.thumbnailator.ThumbnailatorTest
49c672afdefb06af1fef67d6f0fbe1c3a0c1b2a7;Extract Variable;Extract Variable	fis : FileInputStream in method public testCreateThumbnail_IOSII_Transcoding_Gif_Jpeg() : void from class net.coobird.thumbnailator.ThumbnailatorTest
